Artist,Title,Year,URL
Barbapapa,Intro,1974,https://youtu.be/VRFYA58_3gs?si=J2CE8iZUsdwtef-z
One Piece,Intro,1999,https://youtu.be/F99T_HLPFag?si=b0zcYoOdLZrVaJSU
Dragonball,Intro,1986,https://youtu.be/QcrDshBPcw0?si=sVt-ktGIouIsToVD
Die Dinos,Intro,1991,https://youtu.be/SVXHZ2JO1Y8?si=GFA-hjc3hGrnpz3s
Benjamin Blümchen,Intro,1988,https://youtu.be/YB8hqFLRb5k?si=pMVxN5PRR01I4PDe
Hallo Spencer,Intro,1979,https://youtu.be/Y9ycXo7TGrE?si=WzN8UFfX2KVi6oXL
Löwenzahn,Intro,1981,https://youtu.be/PwxtHILcrxg?si=2-eU6jMTG2kvlxUc
Alfred J.Kwak,Intro,1989,https://youtu.be/CWQUXLl5lmc?si=7_8g0KEhYOCPR-xR
Feuerwehrmann Sam,Intro,1987,https://youtu.be/rFSHzOolPFk?si=4pPfc2MkKwab21Fg
Feuerwehrmann Sam,Intro,2005,https://youtu.be/eUBAXf6Dggg?t=6
Paw Patrol,Intro,2013,https://youtu.be/IM9WLDSaTRQ?si=ueveSH9aSTr5k8cS
Chip & Chap,Intro,1988,https://youtu.be/xgDSWhOVtz0?si=WOfi0XUpzcwhzwh4
Ducktales,Intro,1987,https://youtu.be/2HTxFfH2TX4?si=JKYwezXJhFmk2SdG
Darkwing Duck,Intro,1991,https://youtu.be/9d1_N1XrmRk?si=KEtQ-_uG54MciD0X
Peppa Wutz,Intro,2004,https://youtu.be/DbsYMjtdyQI?si=C1uJZxFW2yVuJGQS
Bob der Baumeister,Intro,1998,https://youtu.be/mIcwJQj1cTg?si=q4kXk809nDC9Z1p9
The Three Stooges,Theme Song,1930,https://youtu.be/XTA6vjPyeoQ?si=UAj7_ysC4S8wtS0U
The New Three Stooges,Intro,1965,https://youtu.be/OxFuP1FN-fQ?si=ANvaSR_iEQ6tRNtj
Ein Fall für TKKG,Intro,1985,https://youtu.be/JbJwsAy7tD0?si=Wd9i02NbtIvheGPC
Käpt'n Balu und seine tollkühne Crew,Intro,1990,https://youtu.be/QaPIXIETpHE?si=_V_8CCxss3rkv9o9
Der Bergdoktor,Intro,2008,https://youtu.be/nM38c_gIpF4?si=dTSpUoUZQHlbkIUW
Großstadtreview,Intro,1986,https://youtu.be/B3N5j2BTb_g?si=0You5-Yxt1oBT1w8
Hubert und Staller,Intro,2011,https://youtu.be/lvsglNGOrIE?si=py32I1700Wog16zs
Death in Paradise,Intro,2011,https://youtu.be/OkVeXEShxm4?si=9lm-vvH5WHslz7VD
Rosenheim Cops,Intro,2002,https://youtu.be/InJvOCmTjNA?si=0zBXHDlsrKriesot
Das Traumschiff,Intro,1981,https://youtu.be/xHOpzbXs8Nk?si=Ll7nOnZIcHyXm5a1
Weihnachtsmann & Co. KG,Intro,1997,https://youtu.be/wGyit3DD0FM?si=rDxQwEN-e2xiYknv
WaPo Bodensee,Intro,2016,https://youtu.be/m2y8z57jAno?si=Spj8EGPETGN4IHFI
Die Schwarzwaldklinik,Intro,1985,https://youtu.be/2F6yZoMLDaE?si=pKWsK_ZFypxi1_OO
Polizeiruf 110,Intro,1971,https://youtu.be/ZNTl6Hbs45c?si=RaWMqFTMlHZhx9Dn
In aller Freundschaft,Intro,1999,https://youtu.be/Fdz0RPvh3tE?si=rbOe_wW3LSaVNorp
Grey's Anatomy,Intro,2005,https://youtu.be/GKyvMFkuCog?si=1dSkZwbfw8Q4n2KZ
Bares für Rares,Intro,2013,https://youtu.be/Wa-04Sm6xuY?si=9J77h6kxSq-cm5_E
Alarm für Cobra 11,Intro,1996,https://youtu.be/bSAOzrg5L6g?si=J0qJA8jhzLbOxdIv
Friends,Intro,1994,https://youtu.be/Niu9Zmrx0p8?si=KoFRSN823vme0y4h
Californication,Intro,2007,https://youtu.be/A6RVX-3wNnY?si=DCe8XogLLBhLFxXk
Yellowstone,Intro,2018,https://youtu.be/1WOgBtFnZmY?si=iuu2k3ps9ny9i3XK
The Walking Dead,Intro,2010,https://youtu.be/of-Bqmlgj98?si=2Oc6YloU3RB0hQJ8
Breaking Bad,Intro,2008,https://youtu.be/F1HNuAE9WdU?si=3v_N6RkQ0ktEf4zw
Stranger Things,Intro,2016,https://youtu.be/-RcPZdihrp4?si=orJMZyPfFGGYeSMR
The Sopranos,Intro,1999,https://youtu.be/mJpNmYeooQE?si=KgCLRTHh_xae9afN
Big Bang Theory,Intro,2007,https://youtu.be/x6H7k3XBlk4?si=EZ2XEsb4TfGFUKE3
Orange is the New Black,Intro,2013,https://youtu.be/fBITGyJynfA?si=8I8fOVNUVt6475x8
South Park,Intro,1997,https://youtu.be/piwB5SJqZ7U?si=76Avwi6N-_CHHIrS
Star Wars,Main Theme,1977,https://youtu.be/iXDnFYu91vY?t=23
Jurassic Park,Main Theme,1993,https://youtu.be/lDlU08RU7Tk?si=6PGCxZeoKf9Pmca2
Indiana Jones,The Raiders March,1981,https://youtu.be/IgncJgSbbck?si=1bWr7vgr7XrXvfVb
E.T.,Flying Theme,1982,https://youtu.be/7AR6KQOiNHA?si=IeA66bnLLzkuZ4cs
Pirates of the Caribbean,He's a Pirate,2003,https://youtu.be/BuYf0taXoNw?si=r68y_MuVq6aF4o8y
Kung Fu Panda,Oogway Ascends,2008,https://youtu.be/tAVnGvRwXew?si=PUOxu1o8PfxDK_mK
Zurück in die Zukunft,Main Theme,1985,https://youtu.be/e8TZbze72Bc?si=-g5O2uJjVjsBFG4k
Forrest Gump,Main Theme,1994,https://youtu.be/ps_RXJ69iQA?si=9wH-2X92PK1xkVKi
The Good the Bad and the Ugly,Main Theme,1966,https://youtu.be/kccafOf4O6Q?si=8wGmKOKeXimOxaqG
Once Upon a Time in the West,Man with a Harmonica,1968,https://youtu.be/m6BQKFs3-VM?si=4sf1gZupw7CV0mNc
Titanic,My Heart will go on,1997,https://youtu.be/MxtrIvQKNEQ?si=A_xA1Kosa4sD4CAr
Rocky,Gonna Fly Now,1976,https://youtu.be/ioE_O7Lm0I4?si=X1GGwFOLjd-CJGtg
Lego Movie,Everything is Awesome,2014,https://youtu.be/StTqXEQ2l-Y?si=ZeBRt1JBF5s7Tvui
Mission Impossible,Theme Song,1996,https://youtu.be/XAYhNHhxN0A?si=Lq670zdXtCfmQmDr
Pulp Fiction,Misirlou,1994,https://youtu.be/6bsPlfXigIk?si=aT4uiEqKkPmX-hDX
James Bond,Skyfall,2012,https://youtu.be/DeumyOzKqgI?si=VG8ZQ9EkZTRoz5jr
Rick and Morty,Intro,2013,https://youtu.be/wh10k2LPZiI?si=G6JRH4FUNR3S47tO
Monk,Intro,2002,https://youtu.be/7j5Be5a86uA?si=Z-snYHHLhA53ZiFI
Gute Zeiten Schlechte Zeiten,Intro,1992,https://youtu.be/AyrvCBRYV3A?si=DHdkkgBnLArBvyyV
Unter Uns,Intro,1994,https://youtu.be/iMo2jJo5Cuw?si=GGhNYloleC-iuPG3
